GOOD,990006,Cross Country Express Shippers,Kyle Industries,NV,CA,-5,409,,
GOOD,990008,Cross Country Express Shippers,Kyle Industries,KY,OH,0.5,415,,
GOOD,990010,Cross Country Express Shippers,Kyle Industries,KY,IL,0.5,500,,
GOOD,990011,Airtight Shipping,Kyle Industries,KY,MO,-0.3,425,,
GOOD,990012,Delagato's Express,Kyle Industries,KY,MO,-4.5,425,,
GOOD,990018,Federal Amulgated,Kyle Industries,NC,NC,-0.2,450,,
GOOD,990019,Xpressway,Kyle Industries,NC,PA,0.5,850,,
GOOD,990021,Greenway Carriers,Kyle Industries,SD,IL,-4.9,647,,
GOOD,990022,Greenway Carriers,Kyle Industries,IN,IL,-4.3,93,,
GOOD,990025,Greenway Carriers,Kyle Industries,KY,IL,0.3,475,,
GOOD,990026,Greenway Carriers,Kyle Industries,KY,IL,0.8,500,,
GOOD,990029,Federal Amulgated,Nextalis,KY,IL,-3.2,200,,
GOOD,990033,Cross Country Express Shippers,Kyle Industries,PA,NC,-5.3,600,,
GOOD,990035,Airtight Shipping,Kyle Industries,KY,KY,0,405,,
GOOD,990041,Airtight Shipping,Kyle Industries,KY,IL,0,490,,
GOOD,990043,Delagato's Express,Nextalis,TN,NY,0,1,600,
GOOD,990046,Xpressway,Kyle Industries,IL,MN,0.1,500,,
GOOD,990049,Xpressway,Kyle Industries,IL,KY,-3.5,300,,
GOOD,990051,Greenway Carriers,HP,GA,OR,0.5,401,,
GOOD,990052,Cross Country Express Shippers,HP,GA,OR,0,401,,
GOOD,990053,Xpressway,HP,GA,OR,0.5,401,,
GOOD,990067,Greenway Carriers,Kyle Industries,WI,IL,-0.1,400,,
GOOD,990069,Greenway Carriers,Kyle Industries,IL,CO,0.5,1,495,
GOOD,990070,Greenway Carriers,Kyle Industries,KY,OH,0.3,525,,
GOOD,990073,Federal Amulgated,Kyle Industries,IL,IA,-0.8,700,,
GOOD,990074,Cross Country Express Shippers,Kyle Industries,OH,KY,0,475,,
GOOD,990077,Airtight Shipping,Kyle Industries,KY,MI,-1.3,600,,
GOOD,990080,Delagato's Express,Anova,NJ,OH,-5.3,425,,
GOOD,990082,Xpressway,Anova,NJ,OH,0.5,425,,
GOOD,990083,Xpressway,Anova,NJ,OH,-1.2,425,,
GOOD,990084,Greenway Carriers,Anova,NJ,OH,0.6,425,,
GOOD,990085,Greenway Carriers,Anova,NJ,OH,0.3,425,,
GOOD,990086,Cross Country Express Shippers,Anova,NJ,OH,0.1,425,,
GOOD,990088,Greenway Carriers,Anova,NJ,OH,0.2,425,,
GOOD,990091,Cross Country Express Shippers,Anova,NJ,OH,-1,425,,
GOOD,990092,Airtight Shipping,Anova,NJ,OH,0.8,425,,
GOOD,990093,Delagato's Express,Anova,NJ,OH,0.5,425,,
GOOD,990095,Delagato's Express,Anova,NJ,OH,-1.8,425,,
GOOD,990096,Cross Country Express Shippers,Anova,NJ,OH,0.3,425,,
GOOD,990097,Greenway Carriers,Anova,NJ,OH,-0.3,425,,
GOOD,990098,Greenway Carriers,Anova,NJ,OH,0.7,425,,
GOOD,990099,Greenway Carriers,Anova,NJ,OH,-1.3,425,,
GOOD,990100,Greenway Carriers,Anova,NJ,OH,-3,425,,
GOOD,990101,Cross Country Express Shippers,Anova,NJ,OH,0.2,425,,
GOOD,990102,Cross Country Express Shippers,Anova,NJ,OH,0.8,425,,
GOOD,990103,Airtight Shipping,Anova,NJ,OH,-1.5,425,,
GOOD,990108,Xpressway,Anova,NJ,OH,-4,425,,
GOOD,990109,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990110,Xpressway,Anova,NJ,OH,0.5,425,,
GOOD,990112,Greenway Carriers,Anova,NJ,OH,-1,425,,
GOOD,990113,Federal Amulgated,Anova,NJ,OH,-3,425,,
GOOD,990115,Cross Country Express Shippers,Anova,NJ,OH,0,425,,
GOOD,990116,Cross Country Express Shippers,Anova,NJ,OH,-4.3,425,,
GOOD,990117,Airtight Shipping,Anova,NJ,OH,0.3,425,,
GOOD,990118,Delagato's Express,Anova,NJ,OH,-1.9,425,,
GOOD,990119,Airtight Shipping,Anova,NJ,OH,0,425,,
GOOD,990121,Xpressway,Anova,NJ,OH,0.5,425,,
GOOD,990122,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990125,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990127,Greenway Carriers,Anova,NJ,OH,-0.6,425,,
GOOD,990130,Federal Amulgated,Anova,NJ,OH,0,425,,
GOOD,990137,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990139,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990140,Federal Amulgated,Anova,NJ,OH,-0.5,425,,
GOOD,990141,Cross Country Express Shippers,Anova,NJ,OH,0.1,425,,
GOOD,990142,Cross Country Express Shippers,Anova,NJ,OH,0.6,425,,
GOOD,990143,Cross Country Express Shippers,Anova,NJ,OH,0,425,,
GOOD,990144,Airtight Shipping,Anova,NJ,OH,-0.7,425,,
GOOD,990145,Delagato's Express,Anova,NJ,OH,-1,425,,
GOOD,990146,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990147,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990148,Xpressway,Anova,NJ,OH,-1.9,425,,
GOOD,990149,Greenway Carriers,Anova,NJ,OH,0.8,425,,
GOOD,990150,Greenway Carriers,Anova,NJ,OH,-1.5,425,,
GOOD,990152,Federal Amulgated,Anova,NJ,OH,-1,425,,
GOOD,990154,Cross Country Express Shippers,Anova,NJ,OH,0.2,425,,
GOOD,990156,Delagato's Express,Anova,NJ,OH,-0.5,425,,
GOOD,990157,Federal Amulgated,Anova,NJ,OH,0,425,,
GOOD,990158,Xpressway,Anova,NJ,OH,0,425,,
GOOD,990159,Xpressway,Anova,NJ,OH,0.5,425,,
GOOD,990160,Xpressway,Anova,NJ,OH,-2.5,425,,
GOOD,990161,Greenway Carriers,Anova,NJ,OH,0.3,425,,
GOOD,990162,Greenway Carriers,Anova,NJ,OH,0,425,,
GOOD,990163,Greenway Carriers,Anova,NJ,OH,0.3,425,,
GOOD,990166,Cross Country Express Shippers,Anova,NJ,OH,0.9,425,,
GOOD,990168,Delagato's Express,Anova,NJ,OH,-1.5,425,,
GOOD,990169,Airtight Shipping,Anova,NJ,OH,0.5,425,,
GOOD,990170,Delagato's Express,Anova,NJ,OH,0.3,425,,
